1314.csv_col1,1314.csv_col2,1325.csv_col1,1325.csv_col2,1546.csv_col1,1546.csv_col2,1572.csv_col1,1572.csv_col2,1595.csv_col1,1595.csv_col2,1815.csv_col1,1815.csv_col2,1822.csv_col1,1822.csv_col2,1871.csv_col1,1871.csv_col2,2305.csv_col1,2305.csv_col2,2613.csv_col1,2613.csv_col2,2782.csv_col1,2782.csv_col2,2930.csv_col1,2930.csv_col2,3221.csv_col1,3221.csv_col2,3226.csv_col1,3226.csv_col2,3230.csv_col1,3230.csv_col2,3318.csv_col1,3318.csv_col2,3526.csv_col1,3526.csv_col2,3627.csv_col1,3627.csv_col2,3719.csv_col1,3719.csv_col2,3832.csv_col1,3832.csv_col2,3837.csv_col1,3837.csv_col2,3902.csv_col1,3902.csv_col2,3903.csv_col1,3903.csv_col2,4023.csv_col1,4023.csv_col2,4047.csv_col1,4047.csv_col2,4238.csv_col1,4238.csv_col2,4312.csv_col1,4312.csv_col2,4343.csv_col1,4343.csv_col2,4575.csv_col1,4575.csv_col2,4588.csv_col1,4588.csv_col2,4726.csv_col1,4726.csv_col2,4800.csv_col1,4800.csv_col2,4914.csv_col1,4914.csv_col2,4970.csv_col1,4970.csv_col2,5018.csv_col1,5018.csv_col2,5741.csv_col1,5741.csv_col2,5981.csv_col1,5981.csv_col2,6032.csv_col1,6032.csv_col2,6072.csv_col1,6072.csv_col2,6104.csv_col1,6104.csv_col2,6262.csv_col1,6262.csv_col2,6272.csv_col1,6272.csv_col2,6274.csv_col1,6274.csv_col2,6333.csv_col1,6333.csv_col2,6428.csv_col1,6428.csv_col2,6751.csv_col1,6751.csv_col2,6844.csv_col1,6844.csv_col2,6905.csv_col1,6905.csv_col2,6918.csv_col1,6918.csv_col2,6932.csv_col1,6932.csv_col2,7242.csv_col1,7242.csv_col2,7421.csv_col1,7421.csv_col2,7455.csv_col1,7455.csv_col2,7527.csv_col1,7527.csv_col2,7593.csv_col1,7593.csv_col2,7727.csv_col1,7727.csv_col2,7746.csv_col1,7746.csv_col2,7906.csv_col1,7906.csv_col2,7952.csv_col1,7952.csv_col2,7958.csv_col1,7958.csv_col2,8087.csv_col1,8087.csv_col2,8150.csv_col1,8150.csv_col2,8285.csv_col1,8285.csv_col2,8345.csv_col1,8345.csv_col2,8421.csv_col1,8421.csv_col2,8519.csv_col1,8519.csv_col2,8617.csv_col1,8617.csv_col2,9037.csv_col1,9037.csv_col2,9069.csv_col1,9069.csv_col2,9115.csv_col1,9115.csv_col2,9479.csv_col1,9479.csv_col2,9788.csv_col1,9788.csv_col2,9869.csv_col1,9869.csv_col2,9887.csv_col1,9887.csv_col2,9994.csv_col1,9994.csv_col2
80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,,80000,
80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0,80100,0.0
80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0,80200,0.0
80300,0.0,80300,-0.5979235488437936,80300,0.3007477153143099,80300,0.0,80300,1.1846117008540125,80300,0.0,80300,-1.8207590306356056,80300,0.7311576485595821,80300,0.0,80300,0.0,80300,0.4110239471511139,80300,-0.6719977152648862,80300,0.0,80300,4.010821953104863,80300,0.0,80300,0.0,80300,-1.6287964004499595,80300,-2.8121468926553685,80300,0.0,80300,0.0,80300,-0.7156655633253879,80300,-0.4968478842440735,80300,-0.5277420461366944,80300,-5.746031746032115,80300,0.0,80300,-1.4334741288278898,80300,0.5146431617856142,80300,0.0,80300,0.0,80300,0.0,80300,-0.5873445105462362,80300,0.0,80300,0.0,80300,0.0,80300,0.0,80300,-0.7628464905171013,80300,-0.0425682031984948,80300,-1.2312925170068052,80300,0.0,80300,0.0,80300,-1.2227664245904424,80300,-0.0180027849612095,80300,-71.60439560439337,80300,-0.6730096237970224,80300,-0.4807037928458806,80300,-0.457283425304168,80300,-0.1560494300220328,80300,0.0,80300,0.0,80300,0.0,80300,-0.1902509525686504,80300,-1.96917497733459,80300,0.0,80300,7.9560439560437075,80300,0.0,80300,-0.1800636689216074,80300,0.0,80300,-0.5271663857033184,80300,-0.0325737295570601,80300,0.0,80300,0.0,80300,-0.5135965949397064,80300,-6.0773722627736815,80300,-0.6999594184908442,80300,-3.9723893805310335,80300,0.0,80300,-0.4324970131421721,80300,-0.996983606557376,80300,0.0,80300,-0.1424635970090515,80300,0.0,80300,-1.0858642669666396,80300,0.0,80300,-0.7502181500872658,80300,0.0
80400,0.0,80400,2.3368544600938908,80400,-0.0770704705130919,80400,0.0,80400,0.0,80400,0.0,80400,-1.6133704735375702,80400,0.0,80400,0.0,80400,0.0,80400,1.6418434528163837,80400,-0.0315193730953416,80400,-27.28923076923115,80400,-0.3536792307296753,80400,0.0,80400,0.0,80400,0.0,80400,-0.2257209664848012,80400,0.0,80400,0.0,80400,1.6684016051491932,80400,0.0502103657127004,80400,0.0,80400,0.0,80400,0.0,80400,0.0,80400,-0.407734184343909,80400,0.0,80400,0.0,80400,-0.4268616237250165,80400,0.0,80400,0.0,80400,0.0,80400,0.0,80400,-0.5094860102460188,80400,0.0,80400,-0.6224514861213459,80400,0.9464052287581616,80400,-0.5784378231036742,80400,0.0,80400,-1.6467020470052978,80400,0.0,80400,0.0,80400,1.2107023411371074,80400,0.0,80400,-0.0443464412593408,80400,-0.7807037457434739,80400,0.0,80400,0.0,80400,0.0,80400,-0.469901022229433,80400,0.0,80400,0.0,80400,0.8883435582822057,80400,-0.5784441662893822,80400,-2.371754428536758,80400,0.0,80400,0.0,80400,0.0,80400,0.0,80400,-1.7687101779406404,80400,0.0,80400,0.3122484186313978,80400,-2.275280451905471,80400,-0.3879957127545532,80400,0.0,80400,0.0,80400,0.0,80400,0.0,80400,0.0,80400,0.0,80400,-12.646288209605556,80400,0.0,80400,3.003493449781751,80400,0.0
80500,0.0,80500,-0.1273302849103059,80500,-0.1670126874279088,80500,0.0,80500,0.0,80500,0.0,80500,0.0,80500,-0.6891003991403126,80500,1.3672415963741793,80500,0.0,80500,0.0,80500,-0.3417243549402136,80500,0.0,80500,-0.0864030551356511,80500,-0.6761077114072573,80500,0.0,80500,0.6475849731663585,80500,0.0,80500,-0.8971499380421329,80500,0.0,80500,-0.6252438170962317,80500,-0.1912392692053708,80500,-0.1314690394043941,80500,0.0,80500,0.0,80500,-0.7716199756394486,80500,-0.1147385103011098,80500,0.0,80500,0.4812763128739183,80500,0.0,80500,-1.6605504587155615,80500,-0.8165413533834536,80500,-0.0206999085086917,80500,0.0,80500,1.0802249512223194,80500,0.0,80500,0.0,80500,-4.619207521826708,80500,0.64570791527313,80500,-0.5041197632586742,80500,-1.060961313012905,80500,0.1283297883115568,80500,-0.2817120622568094,80500,0.0,80500,0.0,80500,0.0,80500,0.0,80500,0.0,80500,-0.1238241833418842,80500,0.0,80500,-0.1108050198959286,80500,-0.8465855940130751,80500,0.0,80500,0.0,80500,0.0,80500,0.0,80500,0.0,80500,0.0,80500,-0.7070805720265065,80500,-1.1843611974480668,80500,0.0,80500,0.0,80500,0.0,80500,0.0,80500,-0.6339754816112031,80500,0.0,80500,0.0,80500,0.0,80500,0.0,80500,0.0,80500,-2.4459459459459856,80500,0.0,80500,0.0,80500,0.0,80500,0.0
80600,0.0,80600,-0.4377267230955256,80600,0.0,80600,0.0,80600,0.0,80600,0.0,80600,0.0,80600,0.0,80600,-0.5583151624740756,80600,0.0,80600,-0.8119288918424983,80600,0.0,80600,-0.0211844569288387,80600,-0.2521989027257683,80600,-0.0245581900206912,80600,0.0,80600,0.0,80600,0.0,80600,0.0,80600,-0.2417765904157618,80600,6.055147204894916,80600,0.0,80600,-0.0252282389016655,80600,0.0,80600,0.0,80600,0.0,80600,-0.2592194772645908,80600,0.0,80600,0.0,80600,0.0,80600,0.0,80600,1.4836065573769983,80600,0.0,80600,-9.36206896551717,80600,-1.1983448275862112,80600,-0.4948735475051254,80600,-0.2355237475601818,80600,-0.3358693635182783,80600,-0.5394932935916528,80600,0.0,80600,27.84615384614983,80600,0.0812387791741473,80600,-0.0980498374864573,80600,0.0,80600,-1.0413936391241865,80600,0.0,80600,0.0,80600,0.0,80600,0.0,80600,0.3436708860759474,80600,0.124612736660929,80600,0.0,80600,-1.304034582132563,80600,0.0,80600,0.0,80600,-0.1921103838669735,80600,0.0,80600,0.0,80600,0.0,80600,6.102928127772701,80600,-0.4663946746832732,80600,0.0,80600,-0.1586327782646803,80600,-1.3098758500218404,80600,0.0,80600,2.3920704845813447,80600,0.0,80600,-297.2946859902441,80600,0.0,80600,-0.99678751720973,80600,0.0,80600,-3.529058867641579,80600,0.0,80600,-0.7304755671902324,80600,0.0
80700,0.0,80700,0.0,80700,4.009969537524133,80700,0.0,80700,0.0,80700,0.0,80700,-0.3287920072661332,80700,0.0,80700,0.0,80700,0.0,80700,0.0,80700,0.0,80700,0.0,80700,0.0,80700,0.0188823590777897,80700,0.0,80700,0.0,80700,0.0,80700,0.0,80700,0.0,80700,0.0,80700,0.0,80700,0.3364552799027658,80700,0.0,80700,0.0,80700,0.0,80700,-1.399710004833259,80700,0.0,80700,0.0,80700,0.0,80700,0.0,80700,0.0,80700,-1.1836973023473096,80700,0.0,80700,0.201390820584141,80700,0.0,80700,-0.1540425531914893,80700,0.0,80700,0.0,80700,-0.4235899836180662,80700,-0.1206666666666661,80700,0.0,80700,0.0978378378378379,80700,0.0,80700,0.0,80700,0.0,80700,0.0,80700,1.311594202898918,80700,0.0,80700,0.0,80700,0.0,80700,5.518292682925926,80700,0.2859399684044246,80700,0.0,80700,-0.6860825067913336,80700,-0.3566892927523545,80700,0.0,80700,0.0,80700,2.4139080733507745,80700,1.2662086196127378,80700,0.0,80700,1.055906660184753,80700,0.0,80700,0.0728810146969993,80700,0.0,80700,-0.2350649350649306,80700,0.0,80700,-0.1593595617367488,80700,0.0,80700,0.0,80700,0.0,80700,-0.1073387694588579,80700,0.0,80700,2.7834884662080914,80700,0.0
80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.2107837428671244,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.1651283148712345,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,-1.956134774316579,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0099020734175829,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,-0.1108050198959286,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,-0.192450824029767,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,0.0,80800,-0.4809832253778421,80800,0.0,80800,0.0,80800,0.0
80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,-0.0612393846094356,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0,80900,0.0
